accounting  | accounting  | Accounting service started
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 46 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-46 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 9 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-9 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 42 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-42 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 21 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-21 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 17 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-17 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 30 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-30 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 26 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-26 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 5 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-5 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 38 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-38 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 1 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-1 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 34 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-34 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 16 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-16 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 45 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-45 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 12 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-12 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 41 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-41 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 24 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-24 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 20 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-20 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 49 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-49 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 0 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-0 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 29 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-29 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 25 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-25 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 8 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-8 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 37 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-37 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 4 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-4 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 33 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-33 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 15 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-15 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 48 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-48 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 11 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-11 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 44 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-44 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 23 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-23 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 19 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-19 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 32 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-32 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 28 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-28 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 7 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,275] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-7 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 40 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-40 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 3 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-3 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 36 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-36 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 47 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-47 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 14 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-14 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 43 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-43 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 10 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-10 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 22 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-22 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 18 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-18 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 31 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-31 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 27 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-27 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 39 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-39 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 6 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-6 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 35 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-35 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupCoordinator 1]: Elected as the group coordinator for partition 2 in epoch 14 (kafka.coordinator.group.GroupCoordinator)
kafka  | kafka  | [2026-02-07 05:02:09,276] INFO [GroupMetadataManager brokerId=1] Scheduling loading of offsets and group metadata from __consumer_offsets-2 for epoch 14 (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,280] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-13 in 7 milliseconds for epoch 14, of which 3 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,281] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-46 in 6 milliseconds for epoch 14, of which 6 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,281] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-9 in 6 milliseconds for epoch 14, of which 6 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,281] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-42 in 6 milliseconds for epoch 14, of which 6 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,281] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-21 in 6 milliseconds for epoch 14, of which 6 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,281] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-17 in 6 milliseconds for epoch 14, of which 6 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,281] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-30 in 6 milliseconds for epoch 14, of which 6 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,281] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-26 in 6 milliseconds for epoch 14, of which 6 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,281] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-5 in 6 milliseconds for epoch 14, of which 6 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,282] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-38 in 7 milliseconds for epoch 14, of which 7 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,282] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-1 in 7 milliseconds for epoch 14, of which 7 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,282] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-34 in 7 milliseconds for epoch 14, of which 7 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,282] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-16 in 7 milliseconds for epoch 14, of which 7 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,282] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-45 in 7 milliseconds for epoch 14, of which 7 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,282] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-12 in 7 milliseconds for epoch 14, of which 7 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,282] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-41 in 7 milliseconds for epoch 14, of which 7 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,282] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-24 in 7 milliseconds for epoch 14, of which 7 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,282] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-20 in 7 milliseconds for epoch 14, of which 7 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,282] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-49 in 7 milliseconds for epoch 14, of which 7 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,283] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-0 in 8 milliseconds for epoch 14, of which 8 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,283] INFO [DynamicConfigPublisher broker id=1] Updating topic __consumer_offsets with new configuration : compression.type -> producer,cleanup.policy -> compact,segment.bytes -> 104857600 (kafka.server.metadata.DynamicConfigPublisher)
kafka  | kafka  | [2026-02-07 05:02:09,283] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-29 in 8 milliseconds for epoch 14, of which 8 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,283] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-25 in 8 milliseconds for epoch 14, of which 8 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,283] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-8 in 8 milliseconds for epoch 14, of which 8 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,283] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-37 in 8 milliseconds for epoch 14, of which 8 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,283] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-4 in 8 milliseconds for epoch 14, of which 8 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,283] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-33 in 8 milliseconds for epoch 14, of which 8 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,283] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-15 in 8 milliseconds for epoch 14, of which 8 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,284] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-48 in 9 milliseconds for epoch 14, of which 8 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,284] INFO [GroupMetadataManager brokerId=1] Finished loading offsets and group metadata from __consumer_offsets-11 in 9 milliseconds for epoch 14, of which 9 milliseconds was spent in the scheduler. (kafka.coordinator.group.GroupMetadataManager)
kafka  | kafka  | [2026-02-07 05:02:09,291] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing BrokerRegistrationTracker(id=1) with a snapshot at offset 3836519 (org.apache.kafka.image.loader.MetadataLoader)
kafka  | kafka  | [2026-02-07 05:02:09,298] INFO Loaded member MemberMetadata(memberId=consumer-fraud-detection-1-1bd090dd-f3df-477d-8395-a30d4511b003, groupInstanceId=None, clientId=consumer-fraud-detection-1, clientHost=/172.22.0.15, sessionTimeoutMs=45000, rebalanceTimeoutMs=300000, supportedProtocols=List(range)) in group fraud-detection with generation 21. (kafka.coordinator.group.GroupMetadata$)
kafka  | kafka  | [2026-02-07 05:02:09,306] INFO Loaded member MemberMetadata(memberId=consumer-fraud-detection-1-556005eb-0385-4c93-88a7-50c43f311a21, groupInstanceId=None, clientId=consumer-fraud-detection-1, clientHost=/172.22.0.20, sessionTimeoutMs=45000, rebalanceTimeoutMs=300000, supportedProtocols=List(range)) in group fraud-detection with generation 22. (kafka.coordinator.group.GroupMetadata$)
kafka  | kafka  | [2026-02-07 05:02:09,359] INFO [BrokerLifecycleManager id=1] Unable to register broker 1 because the controller returned error DUPLICATE_BROKER_REGISTRATION (kafka.server.BrokerLifecycleManager)
